id,name,description,address,city,state,zip_code,phone,email,website,services,website_valid
11,A-C Electric Company,"A-C Electric Company is a premier provider of electrical construction, automation solutions, and commercial solar contracting services. Our team of experts harnesses the latest technologies to deliver innovative, cost-effective solutions for a wide range of industries. By partnering with us, businesses can streamline operations, reduce energy costs, and enhance their bottom line.",,Bakersfield,CA,,16614100000,not available,http://www.a-celectric.com/,"[""Electrical construction, automation solutions, and commercial solar contractor""]",True
12,Ideal Solar,"Ideal Solar is a pioneering leader in harnessing the power of the sun to revolutionize energy solutions for residential, commercial, and industrial properties. With cutting-edge technology and expertise, we empower clients to reduce their carbon footprint and optimize energy efficiency, providing a sustainable future for generations to come.",,McAllen,TX,78501,19565407852,info@goidealsolar.com,http://www.goidealsolar.com/,"[""Solar Energy for Residential, Commercial & Industrial Properties""]",False
13,Graves Bros. Home Improvement,"Graves Bros. Home Improvement is your one-stop destination for all your home improvement needs. With a wide range of services including roofing, solar, siding, windows, doors, insulation, gutters, home performance program, handyman repair services, kitchen & bathroom remodeling, and commercial roofing & siding, we cater to both residential and commercial clients. Our team of experts is dedicated to providing exceptional craftsmanship, unparalleled customer service, and innovative solutions to transform your home or commercial space into a haven of comfort and functionality.",,Rochester,NY,14609,15852883390,info@gravesbros.com,http://www.gravesbros.com,"[""Roofing, Solar, Siding, Windows, Doors, Insulation, Gutters, Home Performance Program, Handyman Repair Services, Kitchen & Bathroom Remodeling, Commercial Roofing & Siding""]",True
14,A-Tech Electric,"A-Tech Electric - Your trusted partner for all your electrical needs. From changing light bulbs to installing solar panels, we provide a wide range of electrical services to keep your home or business running smoothly. With our expertise in electrical layout, design, wiring, and installation, you can trust us to get the job done efficiently and effectively. Whether you need emergency power solutions, solar panel installations, or smart home solutions, we've got you covered. Contact us today to experience the A-Tech difference.",,Los Angeles,CA,90008,13236914871,info@yourdomain.com,http://www.atechelectric.us,"[""Electrical services ranging from changing light bulbs to installing solar panels, panel upgrades, electrical layout, design, wiring, installation/upgrades, emergency power solutions, Solar Panels, EV Vehicle Charger, Panel Upgrade & Installation, Wiring, Remodels & Additions, HVAC , Installation of heating and cooling systems , Smart Home, Flat Panel TV Installation, Home Theater, Custom Lighting, Security Systems, Security Cameras, Burglar Alarm Systems, Electronic Gates, Security Lighting, electrical maintenance""]",False
15,Add On Solar,"At Add On Solar, we empower households and businesses to harness the power of renewable energy. Our comprehensive services include solar panel sales, installation, and maintenance, as well as energy storage and efficiency solutions. With a focus on innovation and customer satisfaction, we strive to make sustainable energy accessible to all.","2550 W. Union Hills Dr, Suite 350, Phoenix, AZ, 85027",Phoenix,AZ,85027,15058049534,info@addonsolar.net,http://addonsolar.net/,"[""Solar Panel Sales, Installation & Services, Renewable energy, energy storage, and efficiency""]",True
16,Alternative Energy Development Group (AEDG),"A pioneer in the sustainable energy sector, Alternative Energy Development Group (AEDG) empowers commercial-scale clients to reduce their energy demand, minimize energy supply costs, and reinforce their resilience. By offering advisory services, developing and financing commercial-scale clean energy projects, and managing operating energy projects for investors, AEDG is driving the transition to a low-carbon future.","7 Great Valley Parkway, Suite 110 Malvern, PA 19355",Malvern,PA,19355,16109247860,info@aedgonline.com,http://www.aedgonline.com,"[""AEDG helps commercial-scale clients reduce their energy demand, reduce their energy supply costs, and become more sustainable and resilient. We serve clients energy & sustainability needs with Advisory Services; Develop, finance, own and operate commercial- and industrial-scale clean energy projects; And manage operating energy projects for investors including the Alternative Energy Infrastructure Projects Fund I LP.""]",True
17,Affordable Solar Energy,"Harnessing the power of the sun, Affordable Solar Energy provides customized solar energy system installations and services. With a focus on sustainability and dependability, our experts design and implement systems that meet the unique needs of each client. Enjoy the benefits of clean energy and a 25-year warranty on parts and service, backed by our commitment to exceptional customer care.","Bakersfield, CA",Red Bluff,CA,96080,15305276659,not available,not available,"[""Solar energy system installation and services, including custom system design, financing assistance, and a 25-year warranty on parts and service.""]",False
18,DVK Solar Panels,"DVK Solar Panels - Revolutionizing Renewable Energy. Harnessing the power of the sun, we empower homes and businesses to transition to a sustainable future. With cutting-edge technology and expertise, we deliver high-quality solar panels and unmatched customer service. Experience the difference with DVK Solar Panels - your partner in a brighter tomorrow.","1300 N 10th St., Suite 440, McAllen, TX, 78501",Palos Park,IL,60464,17086752417,not available,http://www.dvksolarpanels.com,"[""Solar panels""]",False
19,Empowered Solar,"Empowered Solar is revolutionizing the way we harness the power of the sun. With a passion for innovation and a commitment to sustainability, we design and install solar electric systems for residential and commercial customers. Our team of experts works tirelessly to ensure that every installation meets the highest standards of quality and efficiency, providing our customers with a reliable and renewable source of energy. Join the movement and experience the power of empowered solar.","755 Winton Rd N, Rochester, NY, 14609",Boise,ID,83712,12089015167,info@empowered.solar,https://empowered.solar,"[""Designing and installing solar electric systems for residential and commercial customers""]",True
20,A-Advanced Home Services,"A-Advanced Home Services is your trusted one-stop-shop for all your residential and commercial HVAC needs. With a wide range of products and services, from installation and replacement to preventative maintenance and emergency services, we're dedicated to providing top-notch solutions that keep your home or business comfortable and running smoothly. Our team of trained technicians and indoor air quality specialists are equipped to handle any issue, from routine maintenance to complex repairs. Whether you need a new system installed, or your current one serviced, we're here to help you breathe easy.","3818 South Crenshaw Blvd, Los Angeles, CA, 90008",Louisa,VA,23093,18882812243,info@a-advanced.com,http://www.a-advanced.com,"[""Residential Heating & Air Conditioning Products, Commercial HVAC Services, Installation & Replacement, Trained Technicians, Equipment Retrofit & Replacement, Preventative Maintenance, Extended Service Agreements, Emergency Service, Indoor Air Quality Specialists, Service All Makes & Models, Sheet Metal Fabrication, Electrical Services, Water Heaters, Solar Installation and Repair""]",True
21,691 Electric,"At 691 Electric, we empower homeowners and businesses to harness the power of the sun. As an authorized Kohler dealer, we offer comprehensive solar installation services, battery solutions, and generator systems. Our team of experts will guide you through every step of the process, ensuring a seamless transition to renewable energy. With us, you can trust that your energy needs are met while reducing your carbon footprint.","PO Box 691, Nags Head, NC, 27959",Nags Head,NC,27959,12525482678,paul@691electric.com,http://www.691electric.com/,"[""Solar installation company offering residential, commercial, and battery & generator services. Authorized Kohler dealer.""]",True
22,helixsun,"HelixSunInformation: Revolutionizing the solar industry with innovative services, empowering businesses and individuals to harness the power of the sun and reduce their carbon footprint. Our cutting-edge solutions and expert team streamline the process of going solar, making it easier and more accessible for all.","3050 Post Oak Blvd., Ste 510, Houston, TX 77056",Houston,TX,77056,12816987551,support@helixsun.us,http://www.helixsun.us,"[""Solar related services""]",False
23,"All Phase Electric Company, Inc.","At All Phase Electric Company, Inc., we empower businesses to thrive with our comprehensive range of commercial and industrial electrical services. From new construction to high-lift applications, our team of experts delivers reliable and efficient solutions. With a focus on above-ground utilities, standby generator support, and underground site utilities, we ensure seamless operations for our clients. Our commitment to innovation and customer satisfaction sets us apart as trusted partners for businesses across the board.","28 Haypress Road, Cranbury, NJ 08512",Cranbury,NJ,8512,19084866886,not available,http://allphaseelectric.net/,"[""Commercial and Industrial Electrical Specialists, New Construction, Above Ground Utilities, High Lift Applications, Standby Generator Support, Underground Site Utilities, Solar Point to Point""]",True
24,"Greenpath Technologies, Inc.","Greenpath Technologies, Inc. empowers a sustainable future by providing comprehensive solar power solutions for a diverse range of customers. With a focus on turnkey solutions, our team of experts delivers efficient, cost-effective, and environmentally responsible renewable energy systems for commercial, industrial, government, military, residential, and non-profit sectors.","94-260 Pupuole Street, Waipahu, HI, 96797",Waipahu,HI,96797,18087488418,info@greenpath-tech.com,http://www.greenpath-tech.com,"[""Full service solar power systems contractor, offering unique turnkey solutions in renewable energy for commercial, industrial, government, military, residential, and non-profit customers.""]",True
25,Infinity Electric LLC,"At Infinity Electric LLC, we empower your space with intelligent electrical solutions. Our extensive expertise in residential and commercial electrical services ensures seamless connections, efficient systems, and unparalleled peace of mind. From repairs and installations to remodels and new wiring, we bring light to your life.","7610 Adelman Drive, Horace, ND, 58047",Horace,ND,58047,17013718780,not available,http://www.infinityelectricnd.com,"[""Residential and commercial electrical services, including repairs, installations, remodels, hot tub/sauna electrical, and new residential wiring.""]",False
26,A & A Quality Roofing,"A & A Quality Roofing is a premier provider of premium roofing services, siding, and seamless gutters for residential and commercial clients. With a commitment to quality and exceptional customer service, their expert team offers a wide range of solutions, from roof repairs and replacements to inspections and installations of various roof types, including asphalt shingles, metal roofing, and Tesla Solar Roof. Additionally, they provide seamless gutters, siding, spray foam insulation, windows & doors, and whole home generators. Experience the A & A difference today!","3377 N US Hwy 63, West Plains, MO, 65775",West Plains,MO,65775,14172560755,not available,http://aaqualityroofing.com,"[""Premium roofing services, siding, and seamless gutters for residential and commercial clients. They offer roof repairs, replacements, inspections, and various roof types including asphalt shingles, metal roofing, and Tesla Solar Roof. They also provide seamless gutters, siding, spray foam insulation, windows & doors, and whole home generators.""]",True
27,Four Seasons Exteriors & Roofing,"Four Seasons Exteriors & Roofing is a premier provider of roofing and exterior solutions, dedicated to delivering exceptional results. With years of experience and a commitment to quality, our team of experts offers a wide range of services, from roof repairs to exterior renovations. Trust us to protect your home and enhance its beauty.","90 Florida Street, Farmingdale, New York, 11735",Farmingdale,NY,11735,15162178899,FourSeasons@FSENY.com,https://fourseasonsroofingny.com,"[""Roofing & Exteriors""]",True
28,A&J Electric INC.,"At A&J Electric INC., we revolutionize the electrical contracting experience. Our full-service approach ensures seamless execution of projects, from design to installation. With a commitment to quality, safety, and customer satisfaction, we empower businesses and homeowners alike to shine with efficient and reliable electrical solutions.","TN Branch: 616 South Avant Lane, Memphis, TN 38105
AR Branch: 40 Snuggs Circle.Mayflower, AR 72106",Memphis,TN,72106,not available,ajelectric@aj-electricllc.com,http://aj-electricllc.com,"[""Electrical company with a full service contractor.""]",True
29,Erthos,"Erthos: A pioneering solar integration platform, empowering businesses to harness the power of the sun. Our modular solar plant solutions, backed by project finance, engineering, procurement, and construction expertise, guarantee seamless project execution. Additionally, our comprehensive O&M services and professional training programs ensure maximum efficiency and profitability. Join the Erthos family and illuminate your path to a sustainable future.","20 East University Drive, Suite 308, Tempe, Arizona, 85281",Tempe,AZ,85281,14804547888,info@erthos.com,https://erthos.com,"[""Solar integration platform, modular solar plant, project finance, engineering, procurement, construction, O&M services, professional training programs, and more""]",True
30,Adon Renewables,"Adon Renewables is a cutting-edge innovator in microgrid and DC technologies, offering renewable energy financing solutions and in-house software like Adon HOME and AdonEMS. Their PowerBox range includes 20’ Container (2.5MWh – 5.6MWh), Cabinet (130kWh – 530kWh), and Mini (10 KWh – 25 kWh) options. Additionally, they provide hybrid solar heat pumps (SunChillers™) from 3-ton to 30-ton and bi-directional mobile battery systems, empowering businesses to adopt sustainable energy solutions.","45-781 Kamehameha Hwy., Suite A, Kaneohe, HI, 96744",Kaneohe,HI,96744,18082361110,support@adon1.com,http://adonrenewables.com/,"[""Innovations in microgrid and DC technologies, renewable energy financing, in-house software such as Adon HOME and AdonEMS advanced LFP batteries: PowerBox 20’ Container (2.5MWh – 5.6MWh), PowerBox Cabinet (130kWh – 530kWh), PowerBox Mini (10 KWh – 25 kWh). Hybrid solar heat pumps (SunChillers™) from 3-ton to 30-ton and bi-directional mobile battery systems""]",False
31,Element electrical,"Element Electrical Information: Empowering Your Space, Enhancing Your Life. We deliver exceptional electrical services for commercial and residential properties, from new construction to remodels, ensuring your home or business is always lit up with safety, efficiency, and style. Trust our expert team to illuminate your path to success.","4886 Hercules Ave, Suite D, the, El Paso, TX 79904",El Paso,TX,79904,19154786965,Info@elementelectrical10.work,http://www.elementelectrical10.work,"[""Electrical services including commercial, residential, new construction/remodel""]",False
32,Abundant Solar,"Unlock the power of the sun with Abundant Solar , where we design and build solar electric systems for homes and businesses.","7267 NW Grandview Dr, Corvallis, OR, 97330",Corvallis,OR,97330,15412318072,not available,http://www.abundantsolar.com,"[""Solar electric systems for homes and businesses. Design and building solar electric systems, residential solar, commercial solar incentives, battery storage, solar service/repair, products & partners""]",False
33,Cromwell Solar,"Empowering a sustainable future, Cromwell Solar is a leading provider of innovative solar panel solutions for residential and commercial properties. Our expert team installs high-quality solar panels, generators, and battery backup systems, while also offering electric vehicle charging solutions. With a focus on reliability and efficiency, we help homeowners and businesses reduce their carbon footprint and lower their energy bills.","615 Vermont Street, Lawrence, KS, 66044",Lawrence,KS,66044,17853711429,contact@cromwellsolar.com,https://www.cromwellsolar.com,"[""Residential and Commercial Solar Panel Installation, Generators, Battery Backup Systems, Electric Vehicle Chargers""]",True
34,Gunnar Electric Inc,"At Gunnar Electric Inc, we empower businesses and homes with efficient and reliable electrical solutions. Our team of experts delivers top-notch quality work, ensuring your electrical systems run smoothly and safely. With a commitment to customer satisfaction and innovation, we're dedicated to being your trusted partner in the electrical industry.","14850 Martin Drive, Eden Prairie, MN, 55344",Eden Prairie,MN,55344,19529379262,service@gunnarelectric.com,https://gunnarelectric.com/,"[""Electrical contractor providing quality electrical work for residential and commercial clients""]",True
35,"Solar Electric San Diego, CA","At Solar Electric San Diego, CA, we empower homes and businesses to harness the limitless energy of the sun. With cutting-edge solar panel installation services, residential and commercial clients can reduce their carbon footprint and lower energy bills. Our expert team provides top-notch solutions for battery storage, ensuring a reliable and efficient energy supply. Join the solar revolution with us and experience the benefits of sustainable energy.","10965 San Diego Mission Road, San Diego, CA, 92108",San Diego,CA,92108,16194881117,nfo@cmsolarelectric.com,http://www.cmsolarelectric.com,"[""Solar Panel Installation, Residential Solar, Commercial Solar, Battery Storage""]",False
36,Art Green Construction,"At Art Green Construction, we revolutionize the construction industry by harnessing cutting-edge technology and innovative solutions. Our team of experts crafts bespoke projects that exceed client expectations, delivering exceptional results in a timely and cost-effective manner.","18375 Ventura Blvd. Suite 703 Tarzana, CA, 91356",Tarzana,CA,91356,18189950552,info@artgreenconstruction.com,http://www.artgreenconstruction.com,"[""Construction services""]",False
37,Artex Electric,"At Artex Electric, we harness the power of innovation to deliver comprehensive commercial and industrial electrical services. Our expertise spans from commercial and industrial lighting solutions to parking lot lighting, generator installation and repair, and solar panel installation and maintenance. Trust us to illuminate your business's path to success.","610 Division Street, Texarkana, AR, 71854",Texarkana,AR,71854,18706213110,info@artexelectric.com,http://www.artexelectric.com,"[""Commercial and Industrial Electrical Services, including commercial and industrial lighting, parking lot lighting, generator installation and repair, solar panel installation and maintenance""]",False
38,Golden State Comfort Systems,"At Golden State Comfort Systems, we prioritize quality and comfort. Our team of experts installs and maintains Trane products, ensuring your home or commercial space stays warm in the winter and cool in the summer. With scheduled maintenance and repair services for all makes and models, we've got you covered. Plus, take advantage of federal tax credits and utility company rebates to make your investment even more affordable.","1627 Capitola Way, Fairfield, CA, 94534",Fairfield,CA,94534,17074343664,goldenstatecomfort@yahoo.com,http://www.goldenstatecomfort.com,"[""Quality Trane products at the highest quality installations. Heating, Air Conditioning, and Commercial services. Scheduled maintenance and repair services for all makes and models. Federal tax credits and utility company rebates available.""]",True
39,Green Nation Solar,"At Green Nation Solar, we empower a sustainable future by providing innovative solar energy solutions. Our team of experts specializes in designing and installing comprehensive solar systems, ensuring maximum energy efficiency and minimal environmental impact. With a commitment to excellence and customer satisfaction, we strive to be your trusted partner in the transition to renewable energy.","6100 Lake Eleanor Dr, Suite 251, Orlando, FL, 32809",Orlando,FL,32809,14075732262,not available,not available,"[""Solar Contractors, Providing General Solar Energy Systems, Photovoltaic, Renewable Energy System, Solar Electric, Solar Financing, Solar Roof Panels""]",False
40,Adman Electric,"Transforming the electrical contracting industry, Adman Electric is a cutting-edge provider of innovative solutions that streamline operations, reduce costs, and enhance customer experiences. With a focus on efficiency, quality, and reliability, our team of experts delivers tailored services that meet the unique needs of each client.","2311 East 28th Street, Chattanooga, TN 37407,United States",Chattanooga,TN,,14236225103,info@admanelectric.com,http://www.admanelectric.com,"[""Electrical contractors.""]",True
41,4 S.T.E.L. Engineering,"At 4 S.T.E.L. Engineering, we revolutionize the structural design and engineering landscape with innovative solutions tailored to our clients' unique needs. Our team of experts combines cutting-edge technology with a deep understanding of industry trends to deliver exceptional results. Trust us to bring your vision to life.","26030 Acero, Mission Viejo, CA, 92691",Mission Viejo,CA,92691,19493051150,info@4steleng.com,http://www.zweiggroup.com/2021/03/19/4-s-t-e-l-engineering-acquires-bti/,"[""Solutions to meet our clients' structural design and engineering needs.""]",True
42,A#1 Air,"A#1 Air - Your trusted partner for all your HVAC, plumbing, and electrical needs. With a wide range of services including AC repair, installation, and tune-up, as well as emergency services, heating repair and installation, plumbing repair, drain cleaning, and electrical services, we ensure your home or business is always comfortable and running smoothly. Plus, our indoor air quality testing ensures you breathe easy.","601 East Corporate Drive, Lewisville, Texas, 75057",Lewisville,TX,75057,19727462224,info@anumber1air.com,http://anumber1air.com/,"[""HVAC, Plumbing, and Electrical services, including AC repair, installation, tune-up, emergency services, heating repair and installation, plumbing repair, drain cleaning, electrical services, and indoor air quality testing.""]",False
43,A C Electric Corp,"A C Electric Corporation is a trusted partner for all your electrical contracting needs. With years of professional experience, our team of experts provides comprehensive services for general electrical installations, low-voltage systems, and more. Whether you're a homeowner, business owner, or developer, we deliver top-notch solutions for single-family homes, condominiums, commercial properties, and industrial buildings.","12625 Danielson Court, Suite 111, Poway, CA, 92064",Poway,CA,92064,18587486973,not available,https://acelectriccorp.com/,"[""Electrical contracting company with professional experience. Services include: General electrical installations, Low voltage systems - phone, data, and TV cabling, Single-Family Homes and Condominiums, Commercial Property, Industrial Buildings.""]",True
44,Fisher Solar LLC,"At Fisher Solar LLC, we empower homes and businesses to harness the limitless energy of the sun. Our comprehensive solutions in solar design, sales, service, and installation ensure a seamless transition to a sustainable future. With cutting-edge technology and expert guidance, we help you maximize your energy efficiency and minimize your carbon footprint.","Cogan Station, PA 17728-9141 United States",Cogan Station,PA,17728,15702207274,info@fishersolar.com,http://www.fishersolar.com,"[""Solar Design, Sales, Service, and Installation""]",False
45,1st Choice Energy Builders Inc.,"At 1st Choice Energy Builders Inc., we're redefining the art of roofing with our innovative approaches to commercial and residential solutions. With expertise in tile, shingle, and flat roof replacements, we guarantee unparalleled quality and unmatched customer satisfaction. Our team of professionals is dedicated to delivering exceptional results, ensuring your property is protected and your needs are met. Trust us to provide a superior roofing experience.","18375 Ventura Blvd, Ste. 327, Tarzana, CA, 91356",Tarzana,CA,91356,18182770514,office@firstchoiceenergybuildersinc.com,http://www.firstchoiceenergybuildersinc.com,"[""Roof replacements, Tile roofs, Shingle roofs, Flat roofs for both commercial and residential.""]",True
46,G2 Roofing & Construction,"At G2 Roofing & Construction, we empower homeowners and businesses to weather any storm. Our team of experts provides top-notch residential and commercial roofing services, from new installations to repairs and storm damage restoration. Trust us to keep your roof secure, your family safe, and your business thriving.","6920 South Jordan Road, #H, Centennial, CO, 80112",Centennial,CO,80112,17204800076,g2quote@gmail.com,http://www.g2roofing.com,"[""Residential and commercial roofing services, including new roof installation, replacement, repairs, and storm damage repair.""]",False
47,ACK Smart Solar Energy,"ACK Smart Solar Energy revolutionizes the solar panel installation industry by providing sustainable and eco-friendly solutions for a greener tomorrow. With cutting-edge technology and expert technicians, we empower homeowners and businesses to harness the power of the sun, reducing their carbon footprint and energy bills. Our comprehensive energy systems ensure maximum efficiency, reliability, and peace of mind for our clients.","4 S Beach St, Nantucket, MA, 02554",Nantucket,MA,2554,15082571786,solar@acksmart.com,http://www.acksmart.com,"[""Solar panel installation, solar energy systems, sustainable and eco-friendly solutions""]",True
48,510 Nano,"At 510 Nano, we harness the power of innovation and technology to drive business success. Our team of experts collaborates with clients to develop tailored solutions for project management, asset management, and technology commercialization. With a focus on manufacturing excellence, strategic consulting, and finance, we empower organizations to thrive in the energy and materials sectors.","PO Box 110401, Durham, NC, 27709",Durham,NC,27709,18775106266,not available,http://www.510nano.com,"[""Innovators and Consultants, project and technology development, project management, asset management, technology commercialization, manufacturing excellence, strategic consulting, finance, energy, and materials.""]",False
49,LinkNow! Media,"LinkNow! Media empowers businesses to revolutionize their digital presence through cutting-edge automation solutions. With a focus on seamless integration and streamlined processes, we help entrepreneurs and organizations streamline their operations, enhance customer experiences, and drive growth. By harnessing the power of technology, our innovative approach enables businesses to thrive in today's fast-paced market.","Avalon, PA, 15202",Avalon,PA,15202,14129698433,not available,http://www.atozqualityelectric.com,"[""Site error! Please contact LinkNow Media.""]",True
50,Arcadia Electrical Company,"At Arcadia Electrical Company, we are dedicated to providing comprehensive and innovative electrical solutions for commercial and residential clients. Our team of experts is committed to delivering exceptional services, ensuring your electrical systems are safe, efficient, and reliable. Trust us to brighten up your space with our top-notch electrical expertise.","1005 Wyckoff Avenue, Ridgewood, NY 11385",Ridgewood,NY,11385,17184180106,info@arcadiaelectric.com,http://www.arcadiaelectrical.com,"[""Electrical contractor providing comprehensive commercial and residential services""]",True
51,Handymen of America Inc.,"Handymen of America Inc. - Your one-stop solution for all your home repair and energy conservation needs. Our team of experts provides a wide range of services, from plumbing and HVAC to web design and solar system integration. With a focus on green energy and energy conservation, we help homeowners reduce their carbon footprint and save on energy bills. Trust us to repair or install almost anything and everything, from arbors to gas and oil heating systems.","497 Westside Avenue, Jersey City, NJ, 07304",Jersey City,NJ,7304,18622901243,not available,http://www.handymen-of-america.com,"[""Home repairs, Green Energy & Energy Conservation, Repair/Install Almost Anything & Everything, Arbors, Plumbing, gas, oil heating, and cooling services, Web Design, Technical Analysis, and Solar System Integration""]",False
52,Formula Roofing,"At Formula Roofing, we're dedicated to providing top-notch roofing solutions for residential and commercial properties. With expertise in roof repair, replacement, and historic tile restoration, we're equipped to handle any roofing need. Our team is passionate about delivering exceptional results, whether it's a new installation, tile roofing, asphalt shingles, or flat roofing membranes and coatings. Trust us to protect your investment with our commitment to quality and customer satisfaction.","4560 Columbine St, Denver, CO, 80216",Denver,CO,80216,13036008696,info@formularoofing.com,http://www.formularoofing.com,"[""Residential and Commercial roofing, roof repair, roof replacement, historic tile restoration, storm damage projects, insurance claims, roof replacements, new installations, tile roofing, asphalt shingles, clay and concrete tile, slate, metal roofing, and flat roofing membranes and coatings.""]",False
53,AdamsGroupArchitects,"Adams Group Architects is a visionary firm dedicated to revolutionizing the architectural landscape. Our team of experts combines cutting-edge design principles with innovative technology to craft bespoke solutions that exceed client expectations. With a focus on collaboration, creativity, and sustainability, we bring buildings to life that inspire, educate, and enrich the communities they serve.","7845 Colony Road, Suite C4-241, Charlotte, NC, 28226",Charlotte,NC,28226,17043410303,not available,http://www.theadamsgroup.com,"[""architectural programming planning design""]",True
