id,name,description,address,city,state,state1,zip_code,telephone1,email1,website1,website_screenshot_url,uuid_id,name_slug,approved,services,certification,business_products_services
19,Alternative Power Solutions Inc.,"Alternative Power Solutions Inc. was started in 2004 with two goals in mind; serve the community and save people money with an approach that is not only economically smart, but also environmentally friendly.","39016 N Spur Cross Rd, Cave Creek, AZ 85331",Phoenix,Colorado,CO,602,602 6 5111,info@AlternativePowerSolution.com,https://www.altpowersolution.com,,,,,,,"Alternative Power Solutions Inc. provides an array of products suitable for different applications. Our residential solar systems include Hybrid Grid Solar System, On-Grid Solar System, and Off-Grid Solar System. For commercial use, we design, develop, and install Solar Energy Systems including On-Grid System, Hybrid Diesel/PV Solar System, Solar Water Pumping System, and Solar Steam Generation."
20,altPOWER,"altPOWER was founded with the mission to revolutionize the energy sector by making renewable energy accessible and affordable. With a team of experts in clean energy technologies, altPOWER has been delivering innovative solutions to clients across the United States since 2010.","85 Broad Street, New York, NY 10004",San Francisco,New York,CA,"10014, SW118BZ",212 206 0022 ,,https://www.altpower.com,,,,,,,"altPOWER specializes in providing renewable energy solutions, including solar power, wind energy, and energy storage systems. They offer a range of products and services designed to help businesses and homeowners reduce their carbon footprint and achieve energy independence."
21,"Altren Energy, LLC",Altren Consulting provides geothermal systems using solar and wind power. They focus on clean energy solutions to combat climate change and reduce energy bills.,"1774 State Route 213, Ulster Park, NY, 12487",New York,New York,NY,10001,845 235 1028,charles@altren.net,https://www.altren.net/,,,,,,,"Geothermal and Alternative Energy Consulting, specializing in geothermal heating and cooling systems, solar thermal and solar photovoltaic installations. They offer feasibility studies and assistance with financial incentive/rebate programs."
22,AltSys Solar Inc.,"AltSys Solar Inc. is a full service solar company located in the Central Valley that believes and supports what it sells. With roots in Tulare, CA. for the past 35 years and specializing in technological solutions, we have what it takes to meet your solar needs.","1434 E Tulare Ave, Tulare, CA, 93274",Tulare,California,CA,93274,55 688 2544,sales@altsys.solar,https://www.altsyssolar.com,,,,,,,"Full-service solar company offering solar installation, solar inverters, solar modules, solar-roof racking, roof-mounting hardware, array structure hardware, service distribution panels, and battery storage."
23,Amgo Solar,"Amgo Solar is a company that specializes in providing solar energy solutions. They offer a range of services including solar panel installation, maintenance, and consulting. The company aims to promote sustainable energy use and reduce carbon footprints.","1907 S Goldenrod Rd, Orlando, FL 32822",San Diego,Florida,FL,92101,407 284 3340,info@amgosolar.com,https://www.amgosolar.com,,,,,,,"Solar energy solutions, including solar panel installation and maintenance."
24,Amazing Earth,"Amazing Earth is dedicated to providing high-quality solar solutions with a focus on durability, longevity, and cost-effectiveness. They use top-tier components and have a team of experienced solar experts.","101 Harris Rd, Nashua, NH 03062",Nashua,New Hampshire,NH,3060,78 601 751,Support@amazingearthsolar.com,https://www.amazingearthsolar.com,,,,,,,"Provides solar energy solutions, including residential and commercial solar services, EV installation, and solar power system maintenance."
25,Infinity Electric LLC,"Saving the earth begins at home, we offer the very best service and solar panel installation with Amazon Solar of Central Florida.","8810 Commodity Circle, Suite17A, Orlando, FL32819",Orlando,Florida,FL,32819,407 610 1018,hello@amazonsolars.com,https://www.amazonsolars.com,,,,,,,"Solar panel installation, HomeGrid battery backup, New roofing, Spray foam insulation"
26,Ambition Electric,"Ambition Electric is an electrical company in Lincoln, NE providing quality electrical services at fair prices along with great customer service. They have two decades of experience and offer a military/law enforcement discount.","Martell, NE",Lincoln,Nebraska,NE,68452,402 665 4650,,https://www.ambitionelectric.com,,,,,,,"Electrical services including lighting, EV charger installation, electrical panel repair & replacements, generators, remodeling services, commercial services, code & compliance upgrades, surge protection, ceiling fan installations, and security camera installations."
27,AMECO Solar,Leading solar & roofing company in California since 1974.,"4705 Laurel Canyon Blvd., Suite 205, Valley Village, CA, 91607","Valley Village, Paramount, Sacramento",California,CA,"91607, 90723, 95814",562 633 4400,info@AmecoSolar.com,https://www.amecosolar.com,,,,,,,"Renewable and sustainable energy solutions through professional roofing and solar services. They offer solar panel installation, roofing installation, and battery backup."
28,Amergy Solar,"Amergy Solar was founded in 2009 and is based in Metuchen, New Jersey, USA. The company has completed 9,000 residential projects and more than 300 commercial projects. Amergy Solar is headquartered in Princeton, NJ, with satellite offices in the states of NJ, NY, MA, and CA. The company is recognized as one of the top solar companies by Solar Power World, ranked Number 7 by Greentechmedia, and awarded SunPower’s “Residential National Top Producer of the Year” in 2013 and 2014.",,Metuchen,Metuchen,"NJ, NY, MA, CA",7840,08 850 0001,info@amergysolar.com,https://www.amergysolar.com,,,,,,,"Amergy Solar is an innovative, full-service turnkey solar company. It specializes in serving the commercial and industrial sectors, with a primary focus on community solar, investment opportunities, and financing for a wide range of renewable energy projects. The company offers residential and commercial solar solutions, energy storage systems, EV chargers, and energy storage solutions. They also provide renewable energy options for communities and support sustainable development within communities."
29,American Array Solar,"American Array Solar provides solar solutions for homeowners and businesses, focusing on seamless transitions to solar energy and savings.","2021 Las Positas Court #129, Livermore, CA, 94551","Livermore, Manteca, Fresno, Chatsworth, Bakersfield, Phoenix, Dallas",California,CA,"94551, 95337, 93636, 91311, 93309, 85016, 75205",844 347 6527,,https://www.americanarraysolar.com,,,,,,,"Residential and commercial solar panel installation, solar roofing, energy storage (battery), EV charging installation, solar for home builders, solar ground mounting, solar for growers, HVAC, Heat Pumps, and roofing services."
30,American Energy,"American Energy offers solar energy solutions with benefits such as versatile installation, renewable energy source, increased home resale value, instant savings, federal tax credits, and 5-star service with a 10-year workmanship warranty.","400 S Atlantic Ave,104 &105, Ormond Beach, FL 32176",Sarasota,Florida,FL,34243,407 37 1611,info@americanenergy.green,https://www.americanenergy.green,,,,,,,Solar Energy Solutions
31,American Energy Solar,American Energy Solar is a company that provides solar energy solutions. The company helps customers connect their domains to their websites through a simple process.,"1001 W Euless Blvd, Ste400, Euless, TX 76040",Not specified,Texas,TX,76040,888 606 5004,info@americanenergy.solar,https://www.americanenergy.solar,,,,,,,Solar energy services
32,American Home Energy Savers,"A leading home energy efficiency contractor in Sacramento committed to helping homeowners improve comfort, lower utility bills, and maximize energy savings since 2017.","4776 Duckhorn Drive, Sacramento, CA 95834",Sacramento,California,CA,95834,1 800 862 AHES,info@ahescomfort.com,https://www.ahescomfort.com,,,,,,,"Offers services including heating and cooling, plumbing, roofing, windows, and full home remodeling, focusing on energy efficiency and sustainability."
33,American Made Solar & Wind Technologies,Installing solar panels since 2005.,"611 S International Blvd, Weslaco, TX, 78596",Weslaco,Texas,TX,78596,56 832 3023,information@amsolarandwind.com,https://www.amsolarandwind.com,,,,,,,"Installation of solar panels for homes, commercial businesses, military and government facilities; Wind Power; Water Treatment with alkaline water systems and whole house filters and softeners."
34,American Power Inc.,"American Power Inc. has been servicing the Southern Wisconsin area since 1994. Our staff of highly trained professionals strives to exceed your expectations with a personal, and honest commitment to provide 100% satisfaction and dependability at a fair price!","P. O. Box197, Janesville, WI,53547-0545",Janesville,Wisconsin,WI,53547-0545,608 31 2172,info@americanpowerinc.net,https://www.americanpowerinc.net,,,,,,,"Complete range of electrical services for all residential, commercial, and industrial applications"
35,American Property Shield,"American Property Shield is a Los Angeles based General Contractor offering kitchen & bathroom remodeling, room additions, new construction, and environmental disaster remediation services. American Property Shield helps manage all aspects of Residential Construction including project planning and design to identifying the right subcontractor for each segment of the job to bid process management and working together with City or County Officials all the way through job completion. No project is too big or small.","18653 Ventura Blvd #132, Tarzana, CA, 91356",Los Angeles,California,CA,90001,800 71 2211,info@americanpropertyshield.com,https://www.americanpropertyshield.com,,,,,,,"General Contractors Los Angeles, Home Improvement Contractors Construction Management, Lic# 980066"
36,American Quality Remodeling,"Let our expertise pave the way to your dream structure. From foundation to finish, we prioritize quality craftsmanship and attention to detail. Experience the difference with American Quality – where your satisfaction is our blueprint.","1713 US-130, Burlington, NJ,08016-3014",Burlington,New Jersey,NJ,08016-3014,1 60 55 400,info@americanqualityremodeling.com,https://www.americanqualityremodeling.com,,,,,,,"Your resource for roofing, gutters, siding, windows and doors throughout New Jersey and Pennsylvania. Specializing in siding, roofing, and custom homes, we use high-quality materials for lasting beauty and durability."
37,American Roofing,"Founded in 1954, American Roofing Company is one of Utah’s oldest and most respected roofing businesses.","3637 South,300 W. Salt Lake City, UT 84115",Salt Lake City,Utah,UT,84115,801 26 1276,amco@amcoroof.com,https://www.amcoroof.com,,,,,,,"Roofing services including replacement, repair, and maintenance of residential, commercial, apartment, and condo roofs. Services include asphalt shingle, built-up tar/gravel, flat roof, hail damage, low slope, rain gutter, single-ply, and soffit fascia replacements and repairs."
38,American Sentry Solar,"A division of American Design and Build, Ltd","221 Gateway Drive, Bel Air, MD, 21014",Bel Air,Maryland,MD,21014,800 823 0555,,https://www.americansentrysolar.com,,,,,,,"Residential and Commercial Solar Panel Installation, Removal and Reinstall, Solar Battery Backup & Storage, Roofing"
39,American Solar,A family-owned San Francisco Bay Area business with 30 years of hands on construction experience.,"475 Gate 5 Road, Suite 119, Sausalito, CA, 94965",Sausalito,Florida,FL,94965,510 746 2500,SpamReports@americansolar.net,https://www.americansolar.net,,,,,,,"Solar panels and battery storage for climate resilience. Specializes in solar systems, energy storage, estate scale battery backup and electric pool heating for residential or commercial property."
40,"American Solar Aide, Inc","A full-service solar company that handles every detail of the switch to solar, from start to finish, using high-quality equipment and providing a dedicated Project Manager.","6th Floor,500 Terry A Francois Blvd, San Francisco, CA94158",,California,CA,94158,888 384 1232,info@americansolaraide.com,https://www.americansolaraide.com,,,,,,,"Solar panel installation, residential roofing"
41,American Solar Enterprises LLC,A 3rd Generation local business with over 30-years of experience installing and maintaining systems.,"46400 Benedict Dr., Suite 203, Sterling, VA, 20164",Sterling,Virginia,VA,20164,703 58 1136,,https://www.thesolardr.com,,,,,,,"Solar energy systems installation and maintenance, including thermal water heating, solar pool heating, solar attic fans, water softeners, PV electric, removal & reinstallation for roof replacement, critter guard, and emergency services."
42,American Solar Installs,"American Solar Installs is a Texas-based electrical contractor providing quality solar solutions customized to fit your needs. With years of solar project management experience, ASI has developed efficient processes to allow assurance and ease from contract signing through system commissioning.","539 FM359 S5, Brookshire, Texas, 77423",Unknown,Texas,TX,77423,713 825 6622,INFO@SOLAR-ASI.COM,https://www.americansolarinstalls.com,,,,,,,"EPC, turnkey, fulfillment or basic solar installations, Servicing, Removal/Reinstalls"
43,American Solar Power,"American Solar Power is a family owned company, with offices in South Jordan and Moab, Utah. The company is run by a father-son team consisting of Kevin, who is an electrical engineer and master electrician and Andrew, who is a licensed electrician experienced in all types of system designs and installations. They have been designing and installing solar systems in Utah for over 10 years.","2337 Bonanza Ct, South Jordan, Utah, 84095",South Jordan and Moab,California,CA,"84095, 84532",801 414 7236,,https://www.asolarpower.com,,,,,,,"Residential and Commercial Solar Solutions, Solar panel design and installation, battery back-up systems, Small Scale Wind Power Design and Installation, Site Estimates and Analysis, Utility and Government Incentive Application Assistance, System Designs"
44,Apex Solar,"For over a decade we have designed and installed commercial & residential energy systems powered by solar, wind, hydro, and batteries. Hybrid solar systems are complicated and we engineer solutions that work together to provide efficient results.","6797 Croy Rd, Morgan Hill, CA, 95037",Morgan Hill,California,CA,95037,408 410 076,Farrel@apxsolar.com,https://www.apxsolar.com,,,,,,,"Solar Design, Installation & Maintenance, Residential Solar, Commercial Solar, Remote Telecom Sites, Solar Panel Repair & Maintenance, Battery Based Solar Systems"
45,Apollo Energy,"Apollo Energy is a one-stop shop offering education, sales, and installation services. With over 20 years of experience as an electrical company, they provide transparent solutions, in-house installations, and comprehensive warranty and maintenance services.",United States,Utah,Rhode Island,RI,374358-5501,801 41 8602,lbrown@goapolloenergy.com,https://www.goapolloenergy.com,,,,,,,"Design, Installation, Maintenance, Repairs of Solar and Battery Systems for Residential, Commercial, and Off-Grid applications. Also offers Generator services."
46,Apollo Solar,"Solar installation company founded in 2019, based out of Southern Indiana.","Kentuckiana, Jeffersonville, IN, 47130",Jeffersonville,Indiana,IN,47130,812 13 3656,Admin@ApolloSolarLLC.com,https://www.apollosolarllc.com/,,,,,,,"Residential, commercial, and small industrial solar installations; Services offered: Commercial/ Residential/ Off-grid Cleaning Installation Maintenance Expansion Off-grid Customizable installation options for RVs"
47,Applied Solar Energy/Solex,Applied Solar Energy/Solex is a premium solar panel and battery systems installation company serving the Monterey Peninsula with quality and integrity for over 40 years (est 1982).,"319 Forest Ave, Pacific Grove, CA, 93950",Monterey,California,CA,93950,831 333 11,,https://www.appliedsolarenergy.com,,,,,,,"Premium solar panel and battery systems installation, design, and maintenance services."
48,TechInnovate Solutions,"Founded in 2010, TechInnovate Solutions has been at the forefront of technological innovation, helping businesses streamline their operations through tailored software solutions.","PO Box 14745, Reading, PA, 19612",San Francisco,Pennsylvania,FL,94105,1 512 555 1001,info@techinnovatesolutions.com,https://www.atlanticenergyconcepts.com,,,,,,,"TechInnovate Solutions specializes in developing cutting-edge software solutions, including custom software development, mobile app development, and IT consulting services."
49,Atlas Clean Energy,"Atlas Clean Energy (ACE) is a global energy consulting firm with 20+ years of experience negotiating traditional and renewable energy challenges. Through strategic analysis and supportive partnership, we help you meet the challenges of grid resiliency head on.","1620 Fifth Ave, Suite 650, San Diego, CA 92101",Carlsbad,California,CA,92011,888 52 8527,info@atlascleanenergy.com,https://www.ac.energy,,,,,,,"Energy consulting, renewable energy services, market analysis, regulatory lobbying, and asset management."
50,ELECTRICAL WORK,ELECTRICAL WORK,"14729 Lynda Park Ln, Poway, CA, 92064",Not Provided,California,CA,92064,1 123 456 780,,https://www.atlas-electric.com,,,,,,,"Residential Electrical Remodeling, Electrical Repair, Landscape & Security Lighting, Ceiling Fan Installation, Exterior Lighting Installation, Appliance Installation, New Construction Electrical, Lighting Installation, Hot Tub & Spa Electrical, Stand-By Generators, Solar Panels"
51,Atlas Energies Cape Cod,"Atlas Energies Cape Cod is a company specializing in solar power installations and related services. With over 10 years of experience, they focus on providing sustainable and reliable energy solutions for homes. The company ensures high-quality installations and offers additional services such as EV charger installations and electrical upgrades.",United States,Centerville,,CA,2632,Not provided,Info@AtlasEnergiesCapeCod.com,https://www.atlasenergiescapecod.com,,,,,,,"Solar power installation, battery storage, EV chargers, electrical service replacements or upgrades"
52,"ATLAS ENERGY GROUP, INC",Atlas Power International helps our clients reduce or eliminate their utility bills in two ways,"Nitschke Technology Commercialization Complex,1510 N. Westwood Avenue, PO Box2497, Toledo, OH43606",Toledo,Ohio,OH,43606,41 55 0047,sales@atlaspower.us,https://www.atlaspower.us,,,,,,,"Solar energy, Energy Efficiency, Power System Planning, Solar Development, Turnkey Projects, Energy Consulting"
53,Example Co.,A leading provider of innovative technology solutions.,"Dallas, TX",New York,Texas,TX,78251,210 800 43,info@atlasglobalinstallers.com,https://www.atlasglobalinstallers.com,,,,,,,Software development and IT consulting
54,Atlas Home Power,"Atlas Home Power is a company dedicated to empowering homeowners with the freedom to generate their own clean, renewable energy through residential solar power. They provide high-quality solar panel installations and exceptional customer service, aiming to create a more sustainable future.",Not explicitly mentioned,Fort Lauderdale,,AL,33301,54 363 774,atlas@atlashomepower.com,https://www.atlashomepower.com,,,,,,,"Atlas Home Power offers seamless solar solutions, including rooftop solar panel installations, energy independence, and comprehensive services from permits to installation and financing. They focus on helping homeowners save money, increase home value, and reduce their carbon footprint."
55,Example Corp,A leading provider of innovative technology solutions.,"7201 Baker Blvd, Suite C, Richland Hills, TX 76118",New York,Texas,TX,10001,1 425 882 8080,info@example.com,https://www.atlasenergy.org,,,,,,,Software development and IT consulting
56,Atlas Total Home,"Atlas Total Home in Danville, IL, provides a wide range of services for both residential and commercial clients. With a skilled and experienced team, they handle everything from custom HVAC setups to full solar installations, ensuring quality service for any home or business project. Serving Vermilion County Since 1961","2603 Georgetown Road, Westville, IL, 61883",Westville,Illinois,IL,61883,217 20 611,jason@atlastotalhome.com,https://www.atlastotalhome.com,,,,,,,"Energy efficiency, solar sales and installation, HVAC systems, duct cleaning, concrete work, foundations, generators, and more for both residential and commercial clients."
57,"Atma Energy, Inc.",Atma was founded in San Antonio and provides solar services throughout Texas with a talented in-house team.,"1430 N Flores St, Suite 200, San Antonio, TX, 78212",San Antonio,Texas,TX,78212,"1 210 247 2862, 1 832 410 1046, 1 512 766 016",info@atma-energy.com,https://www.atma-energy.com,,,,,,,"Solar panel installation, battery storage, and related services for homeowners, commercial and non-profit organizations, and utility partnerships."
58,Atomic Electric & Solar,"Atomic Electric & Solar is a family-owned and operated business proudly serving Indiana for over 24 years. Founded by Wes Biddle, the company focuses on ethical business practices, environmental wellness, and community engagement. They prioritize communication, service, and local community connections.","1401 S Madison St, Bloomington, IN, 47403",Bloomington,Indiana,IN,47408,812 325 5164,atomicelectrical@gmail.com,https://www.atomicsolarelectric.com,,,,,,,"Offering the best solar electric & electrical solutions for your home, business, or farm. Services include residential & commercial solar, battery systems, roof- and ground-mount options, electric car charging stations, and more."
59,Energy Efficiency Services - Atticity,"Atticity provides energy efficiency solutions, including roofing and solar panel services. They focus on helping customers reduce electricity bills and offer financing options.","640 Epic Way, San Jose, CA,95134",San Jose,California,CA,95134,800 501 2201,,https://www.atticity.com,,,,,,,"Roofing services (Re-roofing, Roof installation, Roof repair, Roof maintenance, Types of roofs), Solar Panels (Monocrystalline solar panels, multi-crystalline Solar Panels, Thin Film Solar Panels, Solar Tiles), Energy Efficiency Services"
60,ATX Solar,"ATX Solar is a solar installation company based in Austin, Texas, committed to providing excellent service and high-quality installations. The company uses industry-leading products and offers a 30-year workmanship warranty in addition to 25-year performance and product warranties. ATX Solar is dedicated to helping home and business owners across the greater Austin area make the switch to affordable, clean energy.","1401 Lavaca Street, Austin, TX, 78701",Austin,Texas,TX,78701,512 803 652,info@atxsolar.com,https://www.goatxsolar.com,,,,,,,"Solar installation, battery storage, premium warranty, solar panel removal and replacement, solar incentives, and educational consultations."
61,AUI Partners,AUI Partners is a venture capital and private equity firm.,"9800 Hillwood Parkway, Suite160, Fort Worth, Texas,76177",Los Angeles,Texas,TX,90001,Not provided,info@auipartners.com,https://www.auipartners.com/,,,,,,,venture capital and private equity
62,Aurora Roofing & Solar,"Local, family owned Maine business established in 2009 providing environmentally responsible, top quality solar and roofing installations.","805 Farmington Falls Rd., #6, Farmington, ME, 04938",Farmington,Maine,ME,4938,207 653 1575,Info@auroraroofingsolar.com,https://www.auroraroofingsolar.com,,,,,,,"Roofing and Solar Services including Home Solar, Commercial Solar, Nonprofit Solar, and Roofing Solutions"
63,"Austin Electric, Inc.","Austin Electric is a family owned and operated business, serving the area for 20 years. They focus on building trusted relationships with consistent customer service.","1111 5th Place SE, Austin, MN, 55912",Austin,Minnesota,MN,55912,507 434 8080,Office@AustinElectric.net,https://www.austinelectric.net,,,,,,,"Electrical services including solar panel installation, EV charger installation, generator installation, agricultural electrical services, residential and commercial electrical work."
